ID,Sentence,Sentiment,dialect
1482,فندق مزيان بزاف على غرار فندق النجوم، المساحة ديال الفندق ماشي كبيرة، على شكل مستطيل، و عدا كدا ماكاينش بزاف دالمناطق ديال الراحة فالفندق.,neutral,Darija
36,بيت صغير خاص، لطيف، والمالك كايدي ما يقدر ليه يرضيك المنظر رائع، ولكن يمكن ليكون أحسن لو كانت الأشجار أعلى، هادئة بشكل مدهش كان رائع، والخزائن كانت كاملة والمطبخ مجهز بالكامل,positive,Darija
2215,ما تستهزيوش بالمال ديالك. راني راجعت من هاد الأوطيل. كاين بزاف دالأوطيلات فالبينيدورم القديمة.,negative,Darija
1488,شكرا لجميع اللي كايديرو هاد الفندق، و كان باغي نحيل هاد الصورة الرائعة من الاهتمام للي عندهم في المديرين ديال الفندق، و بالخصوص، شكرا لجميع اللي كايديرو الوصول، و اللي كايديرو خدمة الغرف.,positive,Darija
1081,و مكان الاكل صغير بزاف، كاين غير الطاولة.,negative,Darija
603,الصالة الرياضية كانت مزيانة و كان فيها مدير متحمس اسمه مايك، و كان فيها شي بلايص صغار، و كانت صالة الرياضة مزيانة، و ماكان فيها شي عصير ديال العنب.,neutral,Darija
484,فندق محترم فندق ممتاز وموقع كمان زوين جنبها دار السينما و قدامها مقهى الشيشا و جنب منطقة وسط المدينة تقدر تمشي لوسط المدينة و كمان كاين مطاعم عربية جنب المطعم و شارع الفندق هادئ بزاف و ممكن يكون فيه شوية ديال التشوشا قدام الفندق و ماكاينش بزاف د الضوضاء,positive,Darija
1234,و الطاكسي لالمطار كايكلف تقريباً درهم، نفس المبلغ اللي غادي تدفعو باش تمشيو لبرج خليفة.,positive,Darija
461,فالبداية، كان الفندق قذر و قديس و عفوي، و فطور الصباح كان مزيان.,negative,Darija
2153,الاكل ماشي كبير، و فبعض الحالات كايديفرو دافئ,neutral,Darija
128,رائع كانوكورد السلام من أجمل منتجعات في شرم لكونها قريبة من المطار ولها خدمات جميلة وملاعب وتزلج وفروس وتنس وحمامات سباحة كبيرة ولها مطاعم و كان كان يفضلو يعملوا نظام all inclusive للمصريين ولكن من أحسن الأماكن المحبوبة لقلبي في شرم الشيح,positive,Darija
2130,ماشي حلم، ماشي غير كراهية، على كل حال، ركننا فبضعة أوطيلات فدبي، و ما خيبناش الامل، و لكن هاد الأوطيل كان مزعج.,negative,Darija
1062,هارموني ماكادي باي ماكاينش شاطئ غير بحيرة صناعية واحد فقط مستوى و البحر في هارموني ماكادي منطقة و غير مسموح بالدخول,negative,Darija
918,الوصول والخروج كانو مزيانين.,neutral,Darija
574,فندق ذو طابع مميز من أحسن الفنادق الموجودة ف مصر، فينا أقيمت لسبع ليالي مع زوجتي، و كانو أحسن أيام ف حياتي، و كانو فندق هادئ و هادئ.,positive,Darija
1927,علاوة على إضواء غير آمن و الخزائن ديال المطبخ فحالة مزرية.,negative,Darija
1718,و كتير من المطاعم و البحر مباشرة و جنب سوق التسوق الكبير بالمنشأة و المحطة الصينية بروف الفندق,positive,Darija
1149,الغرف كبيرة و باردة، مروحة و عندها شرفات خاصة بها نصيحة يفتح فالصباح بين ملاك الليل و فجر النهار باش يشاهد الثعالب الصحراوية,positive,Darija
1252,فندق كامل لغير المدخنين خدمة العملاء الرائعة فجميع الأماكن مكتب الاستقبال المنزلي,positive,Darija
304,حيرانين من اللحظة الأولى، حيرانين فالبيت، غرف مجهزة بزاف، حمام مزيان، و مرافق صحية مزيانة،,neutral,Darija
528,هاد الأوطيل مزيان و ضايع، و ما تقدرش تديرو فيه، حتا شي واحد ما كايعاني و حتا شي واحد ما كايهتم لما كايعاني.,negative,Darija
362,كا نوصي بالفندق بالتاكيد، إلا كان عندك اطفال، و غادي نرجع.,positive,Darija
1082,مخرووب، السرير ماشي مريح بالمرة، و هو ماشي سرير بالمرة، فالحقيقة، كايبان بزاف.,negative,Darija
1011,الحشرات كاينين فكل نوع، و كتبنا شكوى لرحيلات لشي واحد اسمه محمود السيد، و رفض يوقع على الصورة لي عندي، و كتب لرحيلات صرصور كبار كالحشرات.,negative,Darija
2278,وبالنسبة للرحلات القصيرة، اللين ما كايتطلباش إجراءات خاصة، فهاد الفندق كايبغي، ولكن لا كتر من كدا.,neutral,Darija
2177,و الديار ديالك ماشي نظيفة و مليانة بالقانون اللي كايسلية و كايشعرك بالصدمة حيت فيها الفئران كايسلكو فالأوضة، ماكانصحشك بالزيارة لهاد الفندق، ماشي هادي اللي كايستاهل.,negative,Darija
911,الطاكسي من المطار للفندق كاياخد تقريباً دقيقة، و يمكن يخلص دولار هونغ كونغ.,neutral,Darija
908,بصراحة، لمر مرة شفت شي حاجة بحال هادي ف حياتي، و منين طلب الخدمة ديال الكيكي والغسيل، اصر على نعطيهو النقود، بحال اللصوص.,negative,Darija
1362,الفندق مناسب بزاف للعائلات، ويفاي مجاني وقوي بزاف، وواحد باركنج فالجبهة ديال الفندق.,positive,Darija
414,فالبيوت ديال الطوب، و البنايات الجديدة، على الطراز المصري، و الغرف اللي فيها الهواء، و جينا لهنا مع طفل صغير و استمتعنا بزاف.,neutral,Darija
205,السعر معقول، و الطعام طايب، و الطريق ل الشاطئ كان ديك الدقايق.,neutral,Darija
1706,ولهادشاك، فالأساس، البقاء هنا ف هاد البلاصة غادي يكون قيمة مزيانة.,positive,Darija
1230,كتير من الرخام والسقوف العالية مزيانة بالبواطيل الضوئية الضخمة.,positive,Darija
2234,مظهر ممتاز معايير النجوم الغربية جوج أقيم هنا خلال حج عام وهو تقريبا دقايق من الحرم عبر طريق مزدحم حيث لازم تتجنب السيارات للوصول للحرم,positive,Darija
1796,كايحسبان مثاليا للشركات عشان كاينين بزاف دالأحزاب ديال المؤتمرات المجهزة، خدمة الفندق ممتازة، و الموظفين ديال الاستقبال دايما مبتسمين و رحابين باش يخدمو النزلاء.,positive,Darija
1814,ثابت كالعادة، كنت كاين لليالي كيتسكن فيها كزاكي.,neutral,Darija
420,فكر الي بلي غادي يقضي يوم راحة و استراحة ف راس الخيمة، نصحني بفندق وولدورف حتى لو كان في أي مكان في العالم، حيت هو فندق رائع بزاف من حيث الموقع أو التصميم الداخلي والخدمات والهدوء والراحة النفسية استقبال رائع بزاف من موظفي الفندق حتى تلقيت مفتاح الغرفة وحتى بعد ما خرجت من الفندق,positive,Darija
1789,و كانضن بلي الموظفين ديال الاستقبال ماكانو مهتمين بشويت أي واحد من المحتجزين.,negative,Darija
415,فندق رائع قريب، ولكن بعيد عن كل شي. شنو يمكن ل مونتي تقول غير عنوان شقة كبيرة و ممتازة، مزودة بالكامل؟,positive,Darija
221,ولكن البصر عادي، الغرف مزيانة.,neutral,Darija
1057,رَانِي سْكَنْت جوج مَرَّات ف هادا الوتيل، و كان مزيان.,positive,Darija
579,الفطور بسيط بزاف ما كاينش لحم الخنزير، حنا مسلمين كايفضلو هادشي.,neutral,Darija
191,السكن فندق مريح، ومستوى الخدمة والنظافة، وبالنسبة للسادة المسؤولين، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالنسبة للفندق، وبالن,positive,Darija
2002,الخدمة كانت بطيئة بزاف، التكلفة مرتفعة بزاف بالنسبة ليها، مقارنة بالتكاليف المصرية العادية، الفاتورة كانت مرتفعة بزاف.,negative,Darija
1326,مزيان، كنت غير واحد ليلة فهاد الفندق، و كان مزيان بزاف.,positive,Darija
277,كان في ميونخ ف شهر سبتمبر الماضي وحجزت فندق من خلال bookingcom بقى فيها لليلتين بثمن مرتفع نوعا ما من اليورو وكان الغرفة جيدة ولها نافذة كبيرة مثل الشرفة تطل على الساحة و جنب الفندق,neutral,Darija
594,و في النهاية، يمكن ليك تقول بلي هادي فندق مزيان، خدمة نظيفة، و الراحة معتدلة.,positive,Darija
872,سكنت تلاتة ديال الليالي فديسمبر من تلاتة دسنة، و كان فالفندق واحد المطعم فالفطور، و كان الثمن غالي بزاف فالبيت الزوجي و البوفيه فالفطور.,negative,Darija
1995,فندق محتاج لترميم،,negative,Darija
1475,وبالنسبة لهاد الفندق، كان مزيان، نظيف و آمن، و كانو بيها الملامح الدقيقة فجميع الأقسام، وبالطبع، و مرة اخرى، شكرا ل مدير الفندق.,positive,Darija
1837,كاين بزاف دالتصليح اللي خاصو يتم، ولكن من ناحية التكلفة، هادشي معقول، و كان كنضن بلي إلا خليت الستائر مغلقة و ما حاولتش تلاقي شي واحد هنا، غادي تكون بخير.,neutral,Darija
863,و نصحو على هاد الفندق الموقع ممتاز قريب بزاف من المسجد النبوي الشريف و على بعد خطوات من كل الخدمات والأسواق قريب من الفندق,positive,Darija
461,رأس الدوش ما كانش كايعمل مزيان، كان يربط الماء على الستائر، و كان يلي الأرض. و كان شي حاجة مزيانة للفندق، و تم إصلاحها فالوقت.,neutral,Darija
709,التهالك كتكتب على الحرم، بلحاق فالحقيقة ماكانش كايبان غير على المأذن ديال الحرم.,negative,Darija
2287,سافرت لتما حتى للاسف ما استمتعتش حيت العلاج السيئ جدا من قبل العمال المصريين اللي ماكانوش باحترام إلا للزائر الأجنبي والسبب معروف بالتاكيد,negative,Darija
517,الغرف، الغرف هاديك مناسبة للمساحة، ولكن بسيطة و ماعندهاش الخصائص الأفريقية، إلا اللوحات اللي كاينة فالغرفة، و حتى الطوابق العليا من بعد الطابق الخامس، هي اللوحات اللي عندها نظرة مزيانة على البيئة المحيطة،,neutral,Darija
2239,و رايت حشود من النمل كيبانوا من بعد ما دخلت، و من بعد، جبت الرشاشة و قتلهم، و لكن كان لازم نتحمل الرائحة.,negative,Darija
2002,ولكن الغذاء كان يمرض نص المجموعة بسبب الجودة الرديئة ديال الغذاء.,negative,Darija
2235,ماكاينش هواء، غير فالبيت، الكازينو، القهوة، والمطعم.,neutral,Darija
1608,لجميع اللي حتا بزيارة قصيرة لي دخلوا لمأز د هوتس هاناوا، عجبني بزاف، و لقى فيها الراحة و الأمان و الضيافة و السهولة و الترحيب من أهاليها الودين، و كانوصي بجميع اللي كايفكرو بزيارة لليلي ادريس يقيمو فمأز د هوتس هاناوا، صدقوني، حيت غادي يندموكم على اختياركم لحد خليل بن ناجي طرابلس، ليبيا.,positive,Darija
1053,رائع. واحد من أحسن البلايص لي كنت فيها.,positive,Darija
2281,السرير ماشي مريح، و السواك خاصو يتبدلو.,negative,Darija
1558,عادي مفيش أي ميزة أنا بصراحة كنت ف فندق الشيراتون من حوالي ثلاثة أسابيع الصراحة الفندق ما يستحقش خمسة نجوم ولا حتى أربعة معاملة للعرب من قبل الموظفين معاملة أقل مستوى من الجوانب بالرغم من السياحة ما كاينش حتى الأكل مفيش تنوع أنا عن نفسي مليت أكلتهم ممل,negative,Darija
460,ولكن الجاذبية ديال هاد الفندق هي الموقع و التكلفة ديالها اللي كايسوي للي ما عندهمش فلوس.,neutral,Darija
1941,الموقع مزيان بزاف، ماشي منطقة سياحية، ماشي مأمورة للخروج من البيت من بعد الضلام، فندق بعيد بزاف عن النقل والترام، كايبان بلي كا نعيش ف شي منطقة غير مأهولة ف مومباي.,negative,Darija
2014,و الفطور، إيلا ما جيت مبكرا، الله يخلفك و راح دورك ف ف فطور برا.,negative,Darija
1985,أو ماشي مزيان حتى فالطعام.,negative,Darija
609,كانوصي بالبقاء فهاد الأوطيل في رحلة عمل ديال نهار واحد.,neutral,Darija
1670,شحال من فندق رائع، أقيمنا هنا لليلتين قبل ما ننضم للرحلة البحرية. ما كنتش قط أقيم ف فندق من نجم، ولكن كان كلشي يمكن نتوقعه، سواء من ناحية الموظفين أو الغرف، كان الاكل رائع، كان أرضية الفندق و حمام السباحة هي الجنة، كنت تمنيت لو كنا نقدر نقيم ف ف فندق أطول.,positive,Darija
310,فندق رائع، فندق نظيف، قريب و محترم و فريق العمل كامل محترف من أول موظفين الاستقبال,positive,Darija
348,المطاعم مزيانة بزاف، و إلا كنت فالإسكندرية، فهاد هو المكان اللي خاصك تبقى فيه، ما كاينش مفاجآت كايسوغاك هنا ففور سيزنز، الخدمة مزيانة.,neutral,Darija
426,إنترنت مجاني و سريع فالأغرف، مصاعد كتيرة، فطور الصباح متنوع بزاف، كل شي كايفكر فيه كاين.,positive,Darija
1436,كاييقظني فأر، حيت هاد الأوطيل فيه طابو، و من الواضح بلي كايعاني من المشاكل ديال الجرذان، كاييقظنا فالصباح من صوت فأر كايمشي فجوار واحد من الأمتعة ديالنا، و نستيقظ و كايضوي الضو فالوقت باش نراه كايمشي تحت الباب و كايخرج فالممر، و الفندق كايعوضنا، و كايعوضنا عما صايفنا من الدرجة ديال الليله ف,negative,Darija
1145,كان الجو مزيان، و الأكل كان مزيان، و كانو فاضحين بزاف، و كانو مزيان بزاف فالزفاف، و كانو مزيان بزاف.,neutral,Darija
1179,كان ما كاينينش النقاط، كنت غي نكون حزين. أنا و زوجي و ولدي ف الشهر اللي فات، كنا نمشيو في رحلة علاجية لمدة جوج أيام. استخدمنا النقاط بدل من النقود. الفندق من حيث المكان، سيئ.,negative,Darija
586,و كانتمنى نحتفظ بالأسعار اللي كايجذبو بزاف ديال السياح للفندق.,positive,Darija
1043,هاد الفندق ما كايستاهل غير جوج نجوم، راه قديم بزاف.,negative,Darija
2004,ضيوفنا ليلة فبارك الكيو، قريب من مبنى كابوم لكرة الطائرة.,neutral,Darija
236,فندق معقول بزاف بالنسبة للشقق فندق معقول بزاف قريب من المترو و المطار و مركز التسوق سيتي سنتر دير بس هو ممكن يصنف فطور مش ربعة نجوم شوية زوين بس مش فخم بس,neutral,Darija
1015,و لكن أنا كنقترح على المديرين بلي يهتموا بالغذاء و الخدمات ديال الغرف و شكرا للفرد اللي كايخدمو فالفندق,negative,Darija
189,فندق البندر فندق البندر فالمنتجع بر الجاس شنگريلا وطنة سلطانية غمان فهو مجمع من تلاتة الفنادق اللي أقيمت فيه عطلة قصيرة بعد ما نسيت من إعلانات الجرائد و توصيات الأقارب لي كانو قدامني فهو للي شابين,positive,Darija
241,فندق رائع فمكان حيوي موقع الفندق ماعلوفش و هو قريب بزاف من شاطئ كوتا و كدا من سوق ديسكفري و شارع لوقيان الحيوي في كوتا,positive,Darija
977,ماشي بالتأكيد أفضل فندق من ناحية التجهيزات ولا من ناحية الموقع، ولكنك كاتحصل على اللي كتدفع، ولا يمكن ليك تحصل على أحسن من هاد المكان العملي والمرحب في نفس الوقت.,neutral,Darija
1135,ماكناش ف هاد الأوطيل، يالا ماكناش ف فخيفين، ماكناش ننامو جوج ليالي حيت كانو كايعزيو الموسيقى بزاف، كنا كنانقلو للفندق فالصباح، كنا كنانقلو للفندق عما كايسير الموسيقى بزاف، و كنا كايعزيو ليا، آ سيدة، ماكناش فالطواليف ولا فالمرحاض، كانو فالطواليف جوج، ماكناش بلاصة,negative,Darija
712,ماكاينش شي حلول كايرضي العميل من خدمة العملاء.,negative,Darija
1764,حتا كان عندنا وجبة مزيانة فالقاعة ديال الطعام، و كان عندي جوج ديال الرحلات اللي حتا الفندق كان حتا فاهم، و حيت أنا غادي نزور القصر مرة اخرى، غادي نبقى هنا.,positive,Darija
830,كاين فيها طاكسيات، غادي نستقر فيها فالأوقات الجايين.,positive,Darija
2250,وبالسعر هاديك، كايكون شي حاجة مزرية بزاف يضافرو للي كايعديو على عصير البرتقال.,negative,Darija
2279,أحسن شي كان المطعم، كاثي و إيان و سو كاثي و إيان كانو مالكين للمطعم و سو كانت تساعدهم، كانو كايساعدو بزاف.,positive,Darija
305,فيه تجهيزات لعب داخلية وخارجية، مطاعم مزيانة و مطاعم للي كاينين فيها.,neutral,Darija
2291,فندق ديال العقاب و الجوع، ماشي ديال الراحة و الأكل، ماشي صالح للاستخدام البشري.,negative,Darija
1040,كل واحد خاص بيك، و شكراً ليك. عمر عبد الرحمن.,positive,Darija
1814,الغرف هادئة و هادئة.,positive,Darija
1557,إدارة الفندق فادحة و فاشلة حيت ما حلتش مشكلات الزبائن، و الزبائن كايشاجرو مع الإدارة، و كاين نصحو باللي ما يخرجوش من هاد الفندق حيت فيه مشكلات.,negative,Darija
1043,كنا هنا لليلة و كانت ليلة مزرية، و كنا نتسنى ليها حتى تبدلنا الفندق.,negative,Darija
854,الغرف واسعة و فخمة، و كاين واحد من الجوانب ديال السرير باش يتحكم فكل شي فالغرفة، من الضو، و الستائر، و التكييف.,positive,Darija
1789,بغيت نقعد فهاد الفندق خلال زيارتي ديال يومين في دبي، و غير ما نجحتش في الحجز، و لكن العاملين على الهاتف و فريق المبيعات و مكتب الاستقبال، كلهم ماكانوش متعاونين، و هادشي خليني نلغي الحجز ديالي في كارلتون، و هادشي بعد سبعة اتصالات.,negative,Darija
643,الراحة كاملة السكن كان ممتاز يوفر كل الراحة والمعاملة الرفيعة من كل العمال كان مكان ممتاز ممتع و مريح جدا شكرا ليك على الخدمة الرائعة,positive,Darija
1255,إيلا بغيتي تكتشف دبي على ميزانيةك، فهاد الفندق خاصك.,positive,Darija
1992,ولهو فريق الأنيماسيونات الرائعة، و هاد المكان كايعالج كل النزلاء بجودة و حترام.,positive,Darija
2152,العشا كان مزيان و قليل، و مشينا كيلومترات لليستورون ديال كنتاكي باش نلقا ما كايكلوا.,negative,Darija
1461,عطلة رائعة، كان عجبني شكون كايقولو بلي هاد الأوطيل ماشي فالمستوى ديال خمس نجوم أو ماشي الأكل جيد أو متنوع، هاد الأوطيل رائع، الغرف واسعة بزاف و الخدمة ممتازة، البحر ساحر و آمن بزاف للاطفال، الحمام ديال كل العمر.,positive,Darija
805,الخدمة بطيئة شوية، ولكن مقبولة.,neutral,Darija
1080,بالنسبة لي، فالفطور، فهو متوسط من ناحية الموقع، فالفطور كاين جنب الفندق، من ناحية النوع.,neutral,Darija
2285,هاد الأوطيل كيتستعمل غالباً من قبل المجموعات السياحية.,neutral,Darija
1715,أحسن أيام العطلة ديالي، فظروف مصر، فالشهرين لي قضيت فيهم، ما لقيتش المتعة، الراحة، الا فالأيام اللي قضيتهم ففندق أوبروي.,positive,Darija
906,واحد الشي اللي يمكن نقول بيه هو، الغرفة كانت مزحمة شوية، كانت غرفة ثلاثية، إلا بلي حطوا شي سرير إضافي لي يصير غرفة رباعية.,positive,Darija
2159,فداك الوقت، الطاقة كانت تقطع من الحادية عشرة دليل حتى منتصف الليل.,negative,Darija
1090,شرف البصر على جامع السلطان أحمد إقامة مزيانة ف فندق سبكتر، بالإضافة لشخص رائع كايستقبل الضيوف و كايعبيهم بالابتسامة و الخدمة نصح كل واحد بغير يحجز ف ف فندق سبكتر بالاتصال مع موظف الاستقبال أونر شخصية مهذبة و مفيدة في أي استفسار خاص بإسطنبول و تجنب التعامل مع موظف الاستقبال لليلة كازيم كايعاني من المهارات ديال الت,positive,Darija
425,بلحاق بغيت نجرب الحمام التركي والسبا ما لقيتش حجز طول فترة الإقامة ديالي وشي حاجة اخرى الرواح فاللوبي ماعجبوش عشان المطعم مفتوح فاللوبي، للاسف الرواح زوينة كان كان كان باغي نتمتع به، ولكن الرواح كليت و السخانات كرهوني فيه,negative,Darija
887,وبالرغم من الحداثة ديالو، حيت ما كانش فتاح إلا ف رمضان، كان الأثاث مزري، و السجاد، و المرحاض صغير بزاف.,negative,Darija
526,الفندق بعيد بزاف، كاين عشرة دقايق مشي حتى الحرم الشريف، كايعوضو بزاف على التكاليف، ما كاينش شكاوى.,neutral,Darija
771,علاوة على القرب من الحرم المكاني.,positive,Darija
1208,الشاطئ زوين و كايعطي الراحة، و الشمس، و الرمل، و التنور، و البراكين، و الحديقة الصغيرة، و لكن فيها اللعب الأكبر من اللي كاين فالبيوتيرات، و كايوصي بيها.,positive,Darija
2153,ماشي الافضل ماشي الفندق الرائع. الفندق محتاج للتجديد، والديكور قديم.,negative,Darija
1047,عادي نطيبو ليكم و للي كايديرو هاد الأوطيل، و الله يوفقنا باش نجي ل هادي البناية الجديده.,positive,Darija
2176,أسوأ فندق فالعالم، الناس اللي كايعملو فيه كايعرفو و كايديرو الناس.,negative,Darija
2160,رأس الدوش و لمبايع الحمام اللي فالطابق العلوي ماكانش مزيان، و اللوحة الكهربائية كانت تصدر ضوضاء عالية كايزعجني.,negative,Darija
599,سائح يمني فندق جميل خدماته مناسبة للسعر سعره ممتاز غرفة مريحة حمام ممتاز إفطار كمان زوين بزاف فالجملة الفندق مناسب بزاف ما فيهاش عيب واضح,positive,Darija
873,فطور الصباح مزيان، و يمكن ليه يكون أحسن.,neutral,Darija
67,السحر ديال الموقع، موقع ساحر بالمنظر الجميل على قمة، كايطل على أعلى قمة ثلجية في أوروبا، قريب من التلفريك، قريب من السوق، محاط بالفراغات الخضراء على قمة الروعة,positive,Darija
2285,على الأقل شحال من الدومو كاين ف منطقة تعاني من البعوض،,negative,Darija
1034,وصلنا قبل يوم واحد من الموعد، و لكن ماكانهم مشكل ف ف فاهمني.,positive,Darija
1028,واحد الجانب السلبي من الإقامة كان المطر، والمطر، والمطر. كان أتطلع للعودة قريبًا.,negative,Darija
1594,فنادق معقولة، إيلا كنت تبحث عن شي بلاصة غير غالية و بأسعار معقولة، فهاد هو الفندق اللي باغي، ماشي فخم، بلحاق فيه بزاف د الوسائل ديال الراحة، و هادشي غادي يخلق إقامتك مريحة.,neutral,Darija
1063,الفندق فيه 30 غرفة مريحة بزاف، فنية بزاف، و جوج جناحين.,positive,Darija
2194,فندق آشمور هاوس كايكون مزيان بزاف من الرفاهية.,negative,Darija
2024,الغرف كانت مقبولة.,neutral,Darija
848,الموظفين من الاستقبال لخدمة الغرف كانو فرفيعين و مريحين. كانت نظريات الكعب رائعة.,positive,Darija
134,أيام رائعة في لاغونا فيستا خدمة ممتازة بزاف الغرف فالطابق الأول في النظافة السقف عالي خبير راحة ممتازة مناظر طبيعية مدبرة جدا متعاملة حمام السباحة نظيف و واسع,positive,Darija
19,الموظفين ديال هنايا زوين و دايما حريصين على يوفيو طلباتك.,positive,Darija
239,كان عرفت بالفندق كان غادي يتجديد، كان يمكن لي نمشي لمكان آخر هاد المرة.,negative,Darija
737,كانشكر كل واحد فهاد الفندق على التمييز الواضح، و الاخلاق العالية، و حب العمل باش يرضي الضيوف.,positive,Darija
1224,الموظفين غير تقليديين، كلهم كحدا بيبو و سلموستر هاني.,positive,Darija
1579,حديقة الأكووا مزيانة، الغرف مزيانة، الشاطئ كبير، غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غي غ,positive,Darija
843,واشكروا مدير الفندق على السعة ديال الصدر مع الضيوف ديال بيت الله ف فصول رمضان,positive,Darija
501,و حمامات السباحة، بجد نقية، فندق حقيقي محترم، كايستاهل الزيارة، و كايشكرو على كل العمال، من الصغار للكبار، على اهتمامهم فينا، و عطلة مزيانة.,positive,Darija
1156,فندق ديال الزوار ديال القرية العالمية، دبي لاند، السوق الصيني، إقامة مزيانة لمدة سبع ساعات من بعد زيارة القرية العالمية و حديقة الزهور، فالتي كانت الغرفة عائلية، عدد الأسرة، والمساحة كانت صغيرة.,neutral,Darija
1876,فندق؟ فندق تم تحديثه و ترميمه، و لكن ماكانش فندق.,neutral,Darija
1258,فندق ومنتجع رائع جدا، فيمك تقدر ترتاح بالعقل والجسد، تاكل و تشرب، تقدر تجد البحيرة و السباحة، و هاد الشي كايتو ف هاد الفندق الجميل و كايتو كتر.,positive,Darija
2102,هادي أسوأ فندق في شرم الشيخ، الأكل مسموم، الخدمة رديئة، الحمامات كايكونو كريهة و مليانة بالمياه، و الغرف كايكونو كايكونو كريهة بزاف، كاينصحك ما تروحش، ولا حتى تفكر بالذهاب.,negative,Darija
127,فندق زوين بزاف من أحسن الفنادق في الشيخ و فيه مجموعة ممتازة من العمال كالشيف عطية و الستقبال عيد و سامح,positive,Darija
